fecha_emision,fecha_corte,id,producto,fe_inventario,cantidad_mb,fe_proceso,cantidad_mb_lim,vlmen_fndo_ttal,ANON_CO_OSINERG,ANON_PTA_ABASTECIMIENTO,cantidad_mb_scaled,cantidad_mb_lim_scaled,vlmen_fndo_ttal_scaled
20250701,20250701,2380,Diesel,2025-06-25 00:00:00,27.33241,2025-06-30 12:10:02,27.33241,0.91371,ee780c6e7a,b1d1e1802b,-0.14001466541575283,-0.14001466541575283,-0.21307599283171333
20250701,20250701,2381,Diesel,2025-06-26 00:00:00,25.8575,2025-06-30 12:10:02,25.8575,0.91371,ee780c6e7a,b1d1e1802b,-0.15530365566890733,-0.15530365566890733,-0.21307599283171333
20250701,20250701,2382,Diesel,2025-06-27 00:00:00,24.1145,2025-06-30 12:10:02,24.1145,0.91371,ee780c6e7a,b1d1e1802b,-0.17337168016616367,-0.17337168016616367,-0.21307599283171333
20250701,20250701,2383,Diesel,2025-06-28 00:00:00,21.68987,2025-06-30 12:10:02,21.68987,0.91371,ee780c6e7a,b1d1e1802b,-0.19850551506965342,-0.19850551506965342,-0.21307599283171333
20250701,20250701,2384,Diesel,2025-06-29 00:00:00,18.2733,2025-06-30 12:10:02,18.2733,0.91371,ee780c6e7a,b1d1e1802b,-0.2339218492386672,-0.2339218492386672,-0.21307599283171333
20250701,20250701,2385,Diesel,2025-06-30 00:00:00,19.77326,2025-06-30 12:10:02,19.77326,0.91371,ee780c6e7a,b1d1e1802b,-0.21837318944239376,-0.21837318944239376,-0.21307599283171333
20250701,20250701,2386,Diesel,2025-05-24 00:00:00,90.04697,2025-05-31 12:10:02,90.04697,2.20247,88e7fc29c2,55376407d5,0.510087575785998,0.510087575785998,-0.10342926403725321
20250701,20250701,2387,Diesel,2025-05-22 00:00:00,678.267,2025-05-29 12:10:13,678.267,62.508,aef48fddb6,7cf5cc2019,6.607605597482413,6.607605597482413,5.02731974486757
20250701,20250701,2388,Diesel,2025-05-28 00:00:00,16.613,2025-06-04 12:10:02,16.613,0.086,2127ae39c1,fdb7133ee2,-0.2511326014318942,-0.2511326014318942,-0.28349693535822146
20250701,20250701,2389,Diesel,2025-05-24 00:00:00,62.844,2025-05-31 12:10:02,62.844,73.386,bc73fecbda,54457c867b,0.2281002388048569,0.2281002388048569,5.952811780487961
